level_0,index,SVM,direction,category,level,mean,dist,filename
0,0,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000203.jpg
1,1,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000129.jpg
2,2,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/people_08.jpg
3,3,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000114.jpg
4,4,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_169.jpg
5,5,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_138.jpg
6,6,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_12.jpg
7,7,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000207.jpg
8,8,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000107.jpg
9,9,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000123.jpg
10,10,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000045.jpg
11,11,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_133.jpg
12,12,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_140.jpg
13,13,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_07.jpg
14,14,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000215.jpg
15,15,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/magazinecovers_13.jpg
16,16,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000122.jpg
17,17,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000076.jpg
18,18,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000209.jpg
19,19,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000111.jpg
20,20,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_158.jpg
21,21,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_24.jpg
22,22,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_080.jpg
23,23,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_142.jpg
24,24,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_145.jpg
25,25,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000179.jpg
26,26,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_148.jpg
27,27,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000157.jpg
28,28,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000072.jpg
29,29,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000078.jpg
30,30,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000028.jpg
31,31,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000133.jpg
32,32,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000213.jpg
